Cloud,Humidity,Precip,Temp,Wind,Wbgt,class
3,14,0.0,107,2,88,4
4,14,0.0,109,2,88,4
4,14,0.0,109,2,89,4
3,14,0.0,109,2,89,4
4,13,0.0,109,4,88,4
3,12,0.0,107,5,86,3
6,16,0.0,100,7,82,2
4,17,0.0,102,5,85,3
7,16,0.0,98,6,80,1
18,13,0.0,102,9,83,2
2,16,0.0,93,2,78,1
1,17,0.0,95,3,79,1
10,18,0.0,89,4,74,0
53,25,0.0,80,9,68,0
2,24,0.0,89,5,77,1
10,14,0.0,86,6,71,0
6,13,0.0,93,7,75,0
8,19,0.0,89,4,75,0
3,17,0.0,95,2,79,1
1,17,0.0,93,5,78,1
8,25,0.0,80,5,69,0
6,17,0.0,86,3,72,0
6,17,0.0,86,3,72,0
3,20,0.0,84,2,72,0
1,16,0.0,82,3,69,0
2,14,0.0,95,2,79,1
1,14,0.0,86,2,72,0
3,13,0.0,89,5,73,0
3,15,0.0,86,4,71,0
4,20,0.0,82,2,70,0
2,13,0.0,84,2,69,0
5,25,0.0,77,7,67,0
5,20,0.0,80,4,68,0
5,21,0.0,82,9,68,0
1,27,0.0,78,9,67,0
4,9,0.0,100,5,80,1
3,7,0.0,98,2,77,1
3,14,0.0,82,2,68,0
3,15,0.0,84,3,70,0
3,10,0.0,104,2,84,2
2,16,0.0,82,4,69,0
6,11,0.0,93,5,75,0
3,8,0.0,95,4,76,0
8,12,0.0,95,4,77,1
4,10,0.0,100,6,80,1
6,10,0.0,95,8,76,0
4,9,0.0,102,2,82,2
29,64,0.0,73,8,72,0
3,9,0.0,107,4,86,3
1,8,0.0,107,3,85,3
1,11,0.0,107,3,86,3
29,64,0.0,73,8,72,0
2,9,0.0,109,4,87,4
1,9,0.0,105,3,85,3
1,10,0.0,109,2,87,4
5,38,0.0,86,5,78,1
22,58,0.0,77,4,74,0
3,10,0.0,95,3,78,1
2,9,0.0,96,2,78,1
1,11,0.0,95,3,78,1
5,38,0.0,86,5,78,1
2,8,0.0,98,2,79,1
8,9,0.0,95,8,77,1
8,12,0.0,95,9,77,1
1,8,0.0,102,5,81,1
14,55,0.0,80,7,76,0
2,33,0.0,86,3,77,1
2,11,0.0,93,5,75,0
0,38,0.0,86,3,78,1
2,30,0.0,86,6,77,1
1,35,0.0,87,2,79,1
0,27,0.0,89,3,78,1
0,33,0.0,86,4,77,1
0,32,0.0,91,2,80,1
1,34,0.0,87,4,79,1
2,51,0.0,80,2,75,0
0,33,0.0,87,2,78,1
0,26,0.0,93,1,80,1
0,29,0.0,86,2,77,1
5,38,0.0,86,5,78,1
1,26,0.0,87,2,77,1
1,30,0.0,89,3,78,1
3,20,0.0,93,4,79,1
3,31,0.0,86,3,76,0
2,8,0.0,109,4,87,4
2,10,0.0,96,2,78,1
1,21,0.0,100,5,84,2
0,26,0.0,93,1,80,1
21,34,0.0,86,2,77,1
3,9,0.0,105,5,84,2
1,8,0.0,107,3,85,3
4,17,0.0,98,3,82,2
1,19,0.0,89,2,75,0
24,62,0.0,73,8,72,0
1,28,0.0,84,2,73,0
3,19,0.0,91,3,77,1
2,19,0.0,87,2,74,0
1,17,0.0,91,2,75,0
0,39,0.0,86,2,79,1
1,45,0.0,84,3,78,1
1,38,0.0,87,3,79,1
1,38,0.0,86,2,78,1
1,39,0.0,84,4,77,1
0,33,0.0,89,4,79,1
44,51,0.0,75,3,70,0
100,90,0.01,75,7,73,0
100,93,0.01,75,8,73,0
100,93,0.01,73,6,72,0
99,87,0.04,75,8,73,0
99,78,0.0,71,5,69,0
97,84,0.01,75,15,73,0
100,90,0.01,73,7,72,0
99,90,0.06,75,8,73,0
98,78,0.01,75,15,72,0
99,93,0.01,66,8,65,0
98,78,0.01,73,15,70,0
97,81,0.02,75,13,72,0
100,87,0.01,75,6,74,0
100,87,0.02,75,7,74,0
100,81,0.01,77,9,75,0
100,93,0.01,75,8,75,0
91,84,0.0,77,8,76,0
100,90,0.01,75,8,74,0
98,87,0.02,75,5,74,0
91,84,0.0,77,8,76,0
98,93,0.02,75,5,74,0
98,87,0.01,77,8,75,0
98,90,0.03,75,5,73,0
97,87,0.02,75,9,73,0
94,84,0.0,80,16,77,1
96,90,0.02,77,15,76,0
97,93,0.02,75,9,74,0
97,93,0.07,73,7,72,0
94,90,0.04,78,14,78,1
95,90,0.0,77,13,77,1
96,87,0.01,78,12,77,1
98,79,1.51,84,13,82,2
87,85,0.56,84,18,82,2
99,79,0.37,84,16,81,1
88,90,1.39,80,15,80,1
91,90,0.59,80,16,80,1
79,82,0.99,84,17,82,2
61,82,0.66,84,17,84,2
85,84,1.29,82,15,81,1
41,72,0.02,86,21,84,2
72,69,0.06,82,15,79,1
81,79,0.35,84,17,83,2
56,85,0.79,84,20,82,2
