Local hr,Cloud,Humidity,Precip,Temp,Wind
8.0,6.0,19.0,0.0,75.0,2.0,0
11.0,1.0,36.0,0.0,86.0,3.0,0
21.0,18.0,79.0,0.01,82.0,8.0,0
16.0,43.0,15.0,0.0,87.0,6.0,0
10.0,32.0,11.0,0.0,98.0,6.0,0
8.0,3.0,26.0,0.0,86.0,5.0,0
11.0,72.0,75.0,0.0,66.0,7.0,0
11.0,14.0,53.0,0.0,80.0,3.0,0
14.0,5.0,12.0,0.0,84.0,10.0,0
8.0,0.0,17.0,0.0,73.0,4.0,0
12.0,23.0,45.0,0.0,66.0,11.0,0
12.0,25.0,17.0,0.0,91.0,9.0,0
16.0,27.0,57.0,0.0,86.0,3.0,0
13.0,48.0,10.0,0.0,95.0,7.0,0
14.0,1.0,40.0,0.0,68.0,17.0,0
13.0,5.0,20.0,0.0,64.0,16.0,0
17.0,9.0,16.0,0.0,82.0,7.0,0
7.0,28.0,77.0,0.0,53.0,5.0,0
12.0,5.0,22.0,0.0,80.0,15.0,0
12.0,9.0,15.0,0.0,86.0,11.0,0
17.0,46.0,65.0,0.0,84.0,8.0,0
15.0,10.0,62.0,0.0,75.0,5.0,0
10.0,11.0,82.0,0.0,78.0,4.0,0
15.0,6.0,27.0,0.0,73.0,11.0,0
8.0,2.0,33.0,0.0,87.0,2.0,0
16.0,12.0,13.0,0.0,91.0,9.0,0
15.0,0.0,13.0,0.0,102.0,12.0,0
14.0,0.0,12.0,0.0,91.0,12.0,0
7.0,7.0,15.0,0.0,95.0,5.0,0
15.0,9.0,54.0,0.0,84.0,6.0,0
10.0,29.0,64.0,0.0,73.0,8.0,0
7.0,81.0,73.0,0.0,68.0,6.0,0
18.0,58.0,38.0,0.0,69.0,14.0,0
16.0,58.0,30.0,0.0,77.0,12.0,0
10.0,100.0,100.0,0.02,59.0,4.0,0
18.0,21.0,68.0,0.0,75.0,2.0,0
13.0,26.0,17.0,0.0,86.0,9.0,0
11.0,8.0,20.0,0.0,84.0,5.0,0
18.0,79.0,87.0,0.01,64.0,5.0,0
17.0,9.0,17.0,0.0,84.0,2.0,0
16.0,5.0,16.0,0.0,96.0,1.0,0
13.0,7.0,13.0,0.0,96.0,6.0,0
13.0,91.0,87.0,0.0,73.0,7.0,0
12.0,99.0,84.0,0.04,68.0,8.0,0
16.0,26.0,61.0,0.0,84.0,9.0,0
9.0,3.0,17.0,0.0,82.0,7.0,0
7.0,1.0,57.0,0.0,55.0,5.0,0
10.0,1.0,51.0,0.0,73.0,4.0,0
14.0,5.0,9.0,0.0,102.0,4.0,0
17.0,10.0,11.0,0.0,82.0,5.0,0
13.0,4.0,51.0,0.0,86.0,8.0,0
15.0,97.0,82.0,0.04,77.0,16.0,0
18.0,8.0,32.0,0.0,77.0,8.0,0
9.0,0.0,20.0,0.0,93.0,5.0,0
19.0,3.0,19.0,0.0,71.0,6.0,0
16.0,7.0,28.0,0.0,89.0,3.0,0
13.0,3.0,16.0,0.0,100.0,4.0,0
16.0,10.0,11.0,0.0,95.0,2.0,0
10.0,11.0,18.0,0.0,86.0,4.0,0
12.0,1.0,24.0,0.0,95.0,6.0,0
21.0,97.0,84.0,0.03,68.0,10.0,0
13.0,74.0,71.0,0.0,73.0,8.0,0
21.0,42.0,87.0,0.0,73.0,8.0,0
14.0,5.0,25.0,0.0,91.0,6.0,0
17.0,35.0,80.0,0.0,55.0,8.0,0
18.0,3.0,10.0,0.0,91.0,4.0,0
14.0,24.0,15.0,0.0,89.0,7.0,0
13.0,65.0,70.0,0.0,71.0,7.0,0
15.0,5.0,21.0,0.0,64.0,5.0,0
14.0,35.0,74.0,0.0,84.0,13.0,0
18.0,66.0,88.0,0.42,77.0,4.0,0
20.0,46.0,81.0,0.05,77.0,3.0,0
17.0,11.0,20.0,0.0,77.0,3.0,0
17.0,17.0,18.0,0.0,91.0,5.0,0
13.0,8.0,76.0,0.0,68.0,10.0,0
18.0,11.0,26.0,0.0,69.0,6.0,0
21.0,91.0,93.0,0.0,68.0,6.0,0
18.0,9.0,17.0,0.0,69.0,2.0,0
17.0,3.0,28.0,0.0,80.0,2.0,0
8.0,4.0,20.0,0.0,75.0,2.0,0
18.0,4.0,16.0,0.0,80.0,4.0,0
15.0,15.0,45.0,0.0,84.0,6.0,0
10.0,100.0,90.0,0.08,68.0,6.0,0
16.0,99.0,85.0,0.05,75.0,8.0,0
14.0,94.0,84.0,0.0,69.0,2.0,0
11.0,0.0,26.0,0.0,82.0,11.0,0
13.0,44.0,53.0,0.0,86.0,5.0,0
11.0,25.0,8.0,0.0,100.0,12.0,0
18.0,29.0,63.0,0.0,86.0,9.0,0
12.0,16.0,16.0,0.0,89.0,9.0,0
15.0,54.0,53.0,0.0,73.0,7.0,0
12.0,3.0,24.0,0.0,91.0,6.0,0
16.0,77.0,75.0,0.02,62.0,12.0,0
18.0,48.0,74.0,0.06,84.0,10.0,0
10.0,94.0,96.0,0.06,55.0,10.0,0
