Local hr,Cloud,Humidity,Precip,Temp,Wind
18.0,2.0,40.0,0.0,87.0,2.0,0
13.0,2.0,10.0,0.0,86.0,6.0,0
13.0,7.0,8.0,0.0,107.0,6.0,1
15.0,5.0,11.0,0.0,91.0,2.0,0
17.0,17.0,65.0,0.0,84.0,12.0,0
11.0,21.0,9.0,0.0,95.0,11.0,0
16.0,8.0,27.0,0.0,84.0,10.0,0
12.0,2.0,14.0,0.0,100.0,2.0,1
13.0,100.0,87.0,0.02,66.0,6.0,0
18.0,2.0,39.0,0.0,82.0,4.0,0
10.0,7.0,21.0,0.0,86.0,5.0,0
13.0,69.0,69.0,0.01,78.0,8.0,0
12.0,2.0,9.0,0.0,93.0,6.0,0
17.0,6.0,16.0,0.0,84.0,5.0,0
21.0,34.0,82.0,0.0,84.0,4.0,0
21.0,53.0,85.0,0.04,82.0,2.0,0
18.0,4.0,45.0,0.0,77.0,4.0,0
16.0,6.0,24.0,0.0,95.0,5.0,0
13.0,82.0,61.0,0.0,86.0,7.0,1
12.0,4.0,10.0,0.0,107.0,2.0,1
17.0,5.0,20.0,0.0,87.0,1.0,0
16.0,95.0,97.0,0.05,75.0,12.0,0
17.0,8.0,14.0,0.0,93.0,5.0,0
11.0,2.0,8.0,0.0,102.0,5.0,0
13.0,41.0,75.0,0.0,86.0,9.0,2
19.0,32.0,69.0,0.0,80.0,5.0,0
16.0,5.0,61.0,0.0,69.0,3.0,0
9.0,0.0,29.0,0.0,95.0,2.0,1
17.0,5.0,25.0,0.0,73.0,6.0,0
19.0,24.0,80.0,0.01,86.0,5.0,1
8.0,10.0,64.0,0.0,73.0,4.0,0
17.0,96.0,84.0,0.07,69.0,11.0,0
15.0,78.0,66.0,0.0,68.0,9.0,0
18.0,25.0,66.0,0.05,91.0,8.0,2
11.0,5.0,11.0,0.0,107.0,8.0,2
8.0,0.0,22.0,0.0,84.0,1.0,0
15.0,0.0,13.0,0.0,102.0,6.0,0
19.0,46.0,85.0,0.02,75.0,2.0,0
13.0,98.0,81.0,0.01,75.0,14.0,0
11.0,19.0,67.0,0.0,84.0,5.0,1
15.0,74.0,71.0,0.29,91.0,12.0,3
21.0,8.0,85.0,0.0,84.0,8.0,1
17.0,46.0,90.0,0.0,66.0,6.0,0
13.0,48.0,65.0,0.0,64.0,6.0,0
10.0,54.0,88.0,0.0,77.0,2.0,0
11.0,29.0,67.0,0.0,75.0,6.0,0
12.0,0.0,36.0,0.0,82.0,14.0,0
